"ID Bài viết","Tiêu đề","Chuyên mục","Trạng thái","Số ảnh thiếu","Chi tiết tên ảnh thiếu","Đường dẫn cũ"
"20565","BỘ CÔNG AN: Công bố Quyết định đặc xá của Chủ tịch nước nhân dịp Quốc khánh 2/9/2025","Bản tin","published","25","Trai giam số 1 Hà Nội.jpg; TPHCM.jpg; NINH BINH.jpg; An Dien - Da Nang.jpg; Cao Bang.jpg; Kien Giang.jpg; Dien Bien.jpg; Nghe An.jpg; Ca Mau(1).jpg; Ha Tĩnh.jpg; dONG tHAP.jpg; TP Huế.jpg; Thai Nguyên.jpg; Thanh Hóa.jpg; Vinh Quang.jpg; VQ111.jpg; VQ-987.jpg; Vinh Quang 4.jpg; Long.jpeg; VQ231.jpg; VQ456.jpg; VQ1234.jpg; Dak Lak.jpg; Khanh Hoa.jpg; QN.jpeg","/cong-bo-quyet-dinh-dac-xa-cua-chu-tich-nuoc-nhan-dip-quoc-khanh-2-9-2025.html"
"20566","BỘ CÔNG AN: Công bố Quyết định đặc xá năm 2025 (đợt 2) của Chủ tịch nước","Bản tin","published","3","Anh 1.jpg; Anh 2.jpg; Anh 3.jpg","/cong-bo-quyet-dinh-dac-xa-nam-2025-dot-2-cua-chu-tich-nuoc.html"
"20568","QUẢNG NINH: Công an phường An Sinh, tỉnh Quảng Ninh nỗ lực đưa công tác tái hòa nhập cộng đồng đi vào chiều sâu","Bản tin","published","2","ảnh 05 9 1.jpg; z6945052922398_3e28a2dfe7aebd7baff55f092afd8bf1.jpg","/cong-an-phuong-an-sinh-no-luc-dua-cong-tac-tai-hoa-nhap-cong-dong-di-vao-chieu-sau.html"
"20570","ĐỒNG THÁP: Nữ cán bộ Công an tận tụy, đồng hành giúp người lầm lỗi hoàn lương","Bản tin","published","1","Ho_tro_nguoi_hoan_luong_1-1750629929867(1).jpg","/nu-can-bo-cong-an-dong-hanh-giup-nguoi-lam-loi-hoan-luong.html"
"20571","LAI CHÂU: Công bố đặc xá (lần 2) của Chủ tịch nước nhân dịp 80 năm Quốc khánh 2/9/2025","Bản tin","published","5","Anh 4.jpg; Anh 5.jpg; Anh 2(1).jpg; Anh 1(1).jpg; Anh 3(1).jpg","/lai-chau-cong-bo-dac-xa-lan-2-cua-chu-tich-nuoc-nhan-dip-80-nam-quoc-khanh-2-9-2025.html"
"20572","LẠNG SƠN: Đẩy mạnh công tác tái hòa nhập cộng đồng trên địa bàn phường Vĩnh Trại, TP. Lạng Sơn","Bản tin","published","1","1-1.jpg","/day-manh-cong-tac-tai-hoa-nhap-cong-dong-tren-dia-ban-phuong-vinh-trai-tp-lang-son.html"
"20573","QUẢNG NINH: Tập huấn nghiệp vụ thi hành án hình sự và tái hòa nhập cộng đồng","Bản tin","published","2","z6993040331444_098ff871ec9a47821319d8902a45ca32.jpg; z6993040411938_b22a17477ec671b76e1d7db86b79d64c.jpg","/tap-huan-nghiep-vu-thi-hanh-an-hinh-su-va-tai-hoa-nhap-cong-dong.html"
"20574","HẢI PHÒNG: CÔNG AN TP HẢI PHÒNG:  Tập huấn công tác thi hành án hình sự tại cộng đồng và tái hòa nhập cộng đồng năm 2025","Bản tin","published","4","09qc.jpg; 09db.jpg; 093d (1).jpg; 09fe.jpg","/cong-an-thanh-pho-hai-phong-tap-huan-cong-tac-thi-hanh-an-hinh-su-tai-cong-dong-va-tai-hoa-nhap-cong-dong-nam-2025.html"
"20575","HÀ TĨNH: Phường Bắc Hồng Lĩnh ra mắt mô hình ""Phường Bắc Hồng Lĩnh kiểu mẫu về công tác thi hành án hình sự tại cộng đồng và tái hoà nhập cộng đồng""","Bản tin","published","12","PGĐ.jpg; 01(4).jpg; 02(2).jpg; 04(2).jpg; 05(3).jpg; 06(2).jpg; 07(2).jpg; 08(2).jpg; 09(3).jpg; 10(1).jpg; 03(4).jpg; 20(1).jpg","/ha-tinh-phuong-bac-hong-linh-ra-mat-mo-hinh-phuong-bac-hong-linh-kieu-mau-ve-cong-tac-thi-hanh-an-hinh-su-tai-cong-dong-va-tai-hoa-nhap-cong-dong.html"
"20576","NINH BÌNH: Công an tỉnh tập huấn công tác thi hành án hình sự tại cộng đồng và tái hoà nhập cộng đồng năm 2025","Bản tin","published","2","NB3.jpg; NB12.jpg","/cong-an-tinh-ninh-binh-tap-huan-cong-tac-thi-hanh-an-hinh-su-tai-cong-dong-va-tai-hoa-nhap-cong-dong-nam-2025.html"
"20577","ĐỒNG THÁP: Tuyên truyền, phổ biến, giáo dục pháp luật về công tác tái hòa nhập cộng đồng trong đợt cao điểm tấn công trấn áp tội phạm","Bản tin","published","3","DSC01898.JPG; 12341.jpg; DSC01896.JPG","/tien-giang-tuyen-truyen-pho-bien-giao-duc-phap-luat-ve-cong-tac-tai-hoa-nhap-cong-dong-trong-dot-cao-diem-tan-cong-tran-ap-toi-pham.html"
"20578","PHÚ THỌ: CÔNG AN TỈNH PHÚ THỌ: Tập huấn công tác thi hành án hình sự tại cộng đồng và  tái hòa nhập cộng đồng năm 2025","Bản tin","published","8","Untitled-1.jpg; z7007484713359_ccfe2e6c619096c1e8ee937da6976011.jpg; z7007484980023_b48a3f540b1b5d2279ee4de9585d061a.jpg; z7007485037747_a2f35a9abfaa687c1e58ac8eda877409.jpg; z7007484903018_b093c77b04255751785f0b3abdc2e825.jpg; z7007490729387_2391d57eeea99b2c7b87c282df301a36.jpg; Vĩnh Phúc cũ.jpg; Vĩnh Phúc-cũ(1).jpg","/cong-an-tinh-phu-tho-tap-huan-cong-tac-thi-hanh-an-hinh-su-tai-cong-dong-va-tai-hoa-nhap-cong-dong-nam-2025.html"
"20579","NINH BÌNH: Công an tỉnh tập huấn công tác thi hành án hình sự tại cộng đồng và tái hoà nhập cộng đồng năm 2025","Bản tin","published","4","01(2)(1).jpg; 02(2)(1).jpg; 03(1)(1).jpg; 04(1)(2).jpg","/cong-an-tinh-tap-huan-cong-tac-thi-hanh-an-hinh-su-tai-cong-dong-va-tai-hoa-nhap-cong-dong-nam-2025.html"
"20580","THANH HÓA: Phường Đông Sơn tổ chức Hội nghị tuyên truyền, cảm hoá, tư vấn việc làm cho người chấp hành xong án phạt tù","Bản tin","published","3","DSC_9695(1).jpg; DSC_9692(1).jpg; 6(153)(1).jpg","/phuong-dong-son-to-chuc-hoi-nghi-tuyen-truyen-cam-hoa-tu-van-viec-lam-cho-nguoi-chap-hanh-xong-an-phat-tu.html"
"20581","LÂM ĐỒNG: Công an xã Quảng Khê hỗ trợ người chấp hành xong án phạt tù vay vốn ưu đãi tái hòa nhập cộng đồng","Bản tin","published","2","a123(1).jpg; b123(1).jpg","/cong-an-xa-quang-khe-ho-tro-nguoi-chap-hanh-xong-an-phat-tu-vay-von-uu-dai-tai-hoa-nhap-cong-dong.html"
